labels,name,description,goals,country
criminal,SilverTerrier,"SilverTerrier is a Nigerian threat group that has been seen active since 2014. SilverTerrier mainly targets organizations in high technology, higher education, and manufacturing",financial gain,Nigeria
crime-syndicate,Sowbug,"Sowbug is a threat group that has conducted targeted attacks against organizations in South America and Southeast Asia, particularly government entities, since at least 2015",espionage,Unknown
nation-state,Stealth Falcon,"Stealth Falcon is a threat group that has conducted targeted spyware attacks against Emirati journalists, activists, and dissidents since at least 2012",espionage,UAE
crime-syndicate,Stolen Pencil,"Stolen Pencil is a threat group likely originating from DPRK that has been active since at least May 2018. The group appears to have targeted academic institutions, but its motives remain unclear",espionage,North Korea
crime-syndicate,Strider,"Strider is a threat group that has been active since at least 2011 and has targeted victims in Russia, China, Sweden, Belgium, Iran, and Rwanda",espionage,Unknown
crime-syndicate,Suckfly,Suckfly is a China-based threat group that has been active since at least 2014,espionage,China
crime-syndicate,TA459,"TA459 is a threat group believed to operate out of China that has targeted countries including Russia, Belarus, Mongolia, and others",espionage,China
nation-state,TEMP.Veles,"TEMP.Veles is a Russia-based threat group that has targeted critical infrastructure. The group has been observed utilizing TRITON, a malware framework designed to manipulate industrial safety systems",sabotage,Russia
crime-syndicate,Threat Group-3390,Threat Group-3390 is a Chinese threat group that has extensively used strategic Web compromises to target victims. The group has been active since at least 2010,espionage,China
crime-syndicate,Thrip,"Thrip is an espionage group that has targeted satellite communications, telecoms, and defense contractor companies in the U.S. and Southeast Asia",espionage,China
crime-syndicate,Tropic Trooper,"Tropic Trooper is an unaffiliated threat group that has led targeted campaigns against targets in Taiwan, the Philippines, and Hong Kong",espionage,Unknown
nation-state,Turla,"Turla is a Russian-based threat group that has infected victims in over 45 countries, spanning a range of industries including government, embassies, military, education, research and pharmaceutical companies since 2004",espionage,Russia
nation-state,Winnti Group,"Winnti Group is a threat group with Chinese origins that has been active since at least 2010. The group has heavily targeted the gaming industry, but it has also expanded the scope of its targeting",espionage,China
nation-state,APT1,"APT1 is a Chinese threat group that has been attributed to the 2nd Bureau of the People’s Liberation Army (PLA) General Staff Department’s (GSD) 3rd Department, commonly known by its Military Unit Cover Designator (MUCD) as Unit 61398. ",espionage,China
nation-state,APT41,"APT41 is a group that carries out Chinese state-sponsored espionage activity in addition to financially motivated activity. APT41 has been active since as early as 2012. The group has been observed targeting healthcare, telecom, technology, and video game industries in 14 countries.",espionage,China
crime-syndicate,Dust Storm,"Dust Storm is a threat group that has targeted multiple industries in Japan, South Korea, the United States, Europe, and several Southeast Asian countries.",espionage,Unknown
nation-state,Elderwood,"Elderwood is a suspected Chinese cyber espionage group that was reportedly responsible for the 2009 Google intrusion known as Operation Aurora. The group has targeted defense organizations, supply chain manufacturers, human rights and nongovernmental organizations (NGOs), and IT service providers.",espionage,China
crime-syndicate,FIN4,"FIN4 is a financially-motivated threat group that has targeted confidential information related to the public financial market, particularly regarding healthcare and pharmaceutical companies, since at least 2013. FIN4 is unique in that they do not infect victims with typical persistent malware, but rather they focus on capturing credentials authorized to access email and other non-public correspondence.",financial gain,Romania
crime-syndicate,Honeybee,"Honeybee is a campaign led by an unknown actor that targets humanitarian aid organizations and has been active in Vietnam, Singapore, Argentina, Japans, Indonesia, and Canada. It has been an active operation since August of 2017 and as recently as February 2018.",espionage,Unknown
nation-state,Kimsuky,Kimsuky is a North Korean-based threat group that has been active since at least September 2013. The group focuses on targeting Korean think tank as well as DPRK/nuclear-related targets. The group was attributed as the actor behind the Korea Hydro & Nuclear Power Co. compromise.,espionage,North Korea
nation-state,Night Dragon,Night Dragon is a campaign name for activity involving a threat group that has conducted activity originating primarily in China.,espionage,China
crime-syndicate,PittyTiger,PittyTiger is a threat group believed to operate out of China that uses multiple different types of malware to maintain command and control.,espionage,China
crime-syndicate,Silence,"Silence is a financially motivated threat actor targeting financial institutions in different countries. The group was first seen in June 2016. Their main targets reside in Russia, Ukraine, Belarus, Azerbaijan, Poland and Kazakhstan. They compromised various banking systems, including the Russian Central Bank's Automated Workstation Client, ATMs, and card processing.",financial gain,Unknown
crime-syndicate,Taidoor,Taidoor is a threat group that has operated since at least 2009 and has primarily targeted the Taiwanese government.,espionage,China
nation-state,The White Company,"The White Company is a likely state-sponsored threat actor with advanced capabilities. From 2017 through 2018, the group led an espionage campaign called Operation Shaheen targeting government and military organizations in Pakistan. ",espionage,Unknown
crime-syndicate,WIRTE,WIRTE is a threat group that has been active since at least August 2018. The group focuses on targeting Middle East defense and diplomats.,espionage,Unknown
