CVE,reservedDate,publishedDate,baseScore
CVE-2015-0486,2014-12,2015-04,5
CVE-2015-0488,2014-12,2015-04,5
CVE-2015-0491,2014-12,2015-04,10
CVE-2015-0492,2014-12,2015-04,9.3
CVE-2015-2545,2015-03,2015-09,9.3
CVE-2015-2590,2015-03,2015-07,10
CVE-2015-2596,2015-03,2015-07,4.3
CVE-2015-2597,2015-03,2015-07,7.2
CVE-2015-2601,2015-03,2015-07,5
CVE-2015-2613,2015-03,2015-07,5
CVE-2015-2619,2015-03,2015-07,5
CVE-2015-2621,2015-03,2015-07,5
CVE-2015-2625,2015-03,2015-07,2.6
CVE-2015-2627,2015-03,2015-07,2.6
CVE-2015-2628,2015-03,2015-07,10
CVE-2015-2632,2015-03,2015-07,5
CVE-2015-2637,2015-03,2015-07,5
CVE-2015-2638,2015-03,2015-07,10
CVE-2015-2659,2015-03,2015-07,5
CVE-2015-2664,2015-03,2015-07,6.9
CVE-2015-2808,2015-03,2015-04,4.3
CVE-2015-3038,2015-04,2015-04,10
CVE-2015-3039,2015-04,2015-04,10
CVE-2015-3040,2015-04,2015-04,5
CVE-2015-3041,2015-04,2015-04,10
CVE-2015-3042,2015-04,2015-04,10
CVE-2015-3043,2015-04,2015-04,10
CVE-2015-3044,2015-04,2015-04,5
CVE-2015-3046,2015-04,2015-05,10
CVE-2015-3047,2015-04,2015-05,5
CVE-2015-3048,2015-04,2015-05,10
CVE-2015-3049,2015-04,2015-05,10
CVE-2015-3050,2015-04,2015-05,10
CVE-2015-3051,2015-04,2015-05,10
CVE-2015-3052,2015-04,2015-05,10
CVE-2015-3053,2015-04,2015-05,10
CVE-2015-3054,2015-04,2015-05,10
CVE-2015-3055,2015-04,2015-05,7.5
CVE-2015-3056,2015-04,2015-05,10
CVE-2015-3057,2015-04,2015-05,10
CVE-2015-3058,2015-04,2015-05,5
CVE-2015-3059,2015-04,2015-05,10
CVE-2015-3060,2015-04,2015-05,10
CVE-2015-3061,2015-04,2015-05,10
CVE-2015-3062,2015-04,2015-05,10
CVE-2015-3063,2015-04,2015-05,10
CVE-2015-3064,2015-04,2015-05,10
CVE-2015-3065,2015-04,2015-05,10
CVE-2015-3066,2015-04,2015-05,10
CVE-2015-3067,2015-04,2015-05,10
CVE-2015-3068,2015-04,2015-05,10
CVE-2015-3069,2015-04,2015-05,10
CVE-2015-3070,2015-04,2015-05,10
CVE-2015-3071,2015-04,2015-05,10
CVE-2015-3072,2015-04,2015-05,10
CVE-2015-3073,2015-04,2015-05,10
CVE-2015-3074,2015-04,2015-05,10
CVE-2015-3075,2015-04,2015-05,10
CVE-2015-3076,2015-04,2015-05,10
CVE-2015-3077,2015-04,2015-05,10
CVE-2015-3078,2015-04,2015-05,10
CVE-2015-3079,2015-04,2015-05,5
CVE-2015-3080,2015-04,2015-05,10
CVE-2015-3081,2015-04,2015-05,4.3
CVE-2015-3082,2015-04,2015-05,6.4
CVE-2015-3083,2015-04,2015-05,6.4
CVE-2015-3084,2015-04,2015-05,10
CVE-2015-3085,2015-04,2015-05,6.4
CVE-2015-3086,2015-04,2015-05,10
CVE-2015-3087,2015-04,2015-05,10
CVE-2015-3088,2015-04,2015-05,10
CVE-2015-3089,2015-04,2015-05,10
CVE-2015-3090,2015-04,2015-05,10
CVE-2015-3091,2015-04,2015-05,5
CVE-2015-3092,2015-04,2015-05,5
CVE-2015-3093,2015-04,2015-05,10
CVE-2015-3095,2015-04,2015-07,10
CVE-2015-3096,2015-04,2015-06,6.8
CVE-2015-3097,2015-04,2015-06,5
CVE-2015-3098,2015-04,2015-06,5
CVE-2015-3099,2015-04,2015-06,5
CVE-2015-3100,2015-04,2015-06,10
CVE-2015-3101,2015-04,2015-06,4.3
CVE-2015-3102,2015-04,2015-06,5
CVE-2015-3103,2015-04,2015-06,10
CVE-2015-3104,2015-04,2015-06,10
CVE-2015-3105,2015-04,2015-06,10
CVE-2015-3106,2015-04,2015-06,10
CVE-2015-3107,2015-04,2015-06,10
CVE-2015-3108,2015-04,2015-06,5
CVE-2015-3113,2015-04,2015-06,10
CVE-2015-3114,2015-04,2015-07,5
CVE-2015-3115,2015-04,2015-07,5
CVE-2015-3116,2015-04,2015-07,5
CVE-2015-3117,2015-04,2015-07,10
CVE-2015-3118,2015-04,2015-07,10
CVE-2015-3119,2015-04,2015-07,10
CVE-2015-3120,2015-04,2015-07,10
CVE-2015-3121,2015-04,2015-07,10
CVE-2015-3122,2015-04,2015-07,10
CVE-2015-3123,2015-04,2015-07,10
CVE-2015-3124,2015-04,2015-07,10
CVE-2015-3125,2015-04,2015-07,5
CVE-2015-3126,2015-04,2015-07,7.5
CVE-2015-3127,2015-04,2015-07,10
CVE-2015-3128,2015-04,2015-07,10
CVE-2015-3129,2015-04,2015-07,10
CVE-2015-3130,2015-04,2015-07,10
CVE-2015-3131,2015-04,2015-07,10
CVE-2015-3132,2015-04,2015-07,10
CVE-2015-3133,2015-04,2015-07,10
CVE-2015-3134,2015-04,2015-07,10
CVE-2015-3135,2015-04,2015-07,10
CVE-2015-3136,2015-04,2015-07,10
CVE-2015-3137,2015-04,2015-07,10
CVE-2015-4000,2015-05,2015-05,3.7
CVE-2015-4428,2015-06,2015-07,10
CVE-2015-4429,2015-06,2015-07,10
CVE-2015-4430,2015-06,2015-07,10
CVE-2015-4431,2015-06,2015-07,10
CVE-2015-4432,2015-06,2015-07,10
CVE-2015-4433,2015-06,2015-07,10
CVE-2015-4435,2015-06,2015-07,10
CVE-2015-4438,2015-06,2015-07,10
CVE-2015-4441,2015-06,2015-07,10
CVE-2015-4443,2015-06,2015-07,5
CVE-2015-4444,2015-06,2015-07,5
CVE-2015-4445,2015-06,2015-07,10
CVE-2015-4446,2015-06,2015-07,7.5
CVE-2015-4447,2015-06,2015-07,10
CVE-2015-4448,2015-06,2015-07,10
CVE-2015-4449,2015-06,2015-07,5
CVE-2015-4450,2015-06,2015-07,5
CVE-2015-4451,2015-06,2015-07,10
CVE-2015-4452,2015-06,2015-07,10
CVE-2015-4729,2015-06,2015-07,4
CVE-2015-4731,2015-06,2015-07,10
CVE-2015-4732,2015-06,2015-07,10
CVE-2015-4733,2015-06,2015-07,10
CVE-2015-4734,2015-06,2015-10,5
CVE-2015-4736,2015-06,2015-07,9.3
CVE-2015-4748,2015-06,2015-07,7.6
CVE-2015-4749,2015-06,2015-07,4.3
CVE-2015-4760,2015-06,2015-07,10
CVE-2015-4803,2015-06,2015-10,5
CVE-2015-4805,2015-06,2015-10,10
CVE-2015-4806,2015-06,2015-10,6.4
CVE-2015-4810,2015-06,2015-10,6.9
CVE-2015-4835,2015-06,2015-10,10
CVE-2015-4840,2015-06,2015-10,5
CVE-2015-4842,2015-06,2015-10,5
CVE-2015-4843,2015-06,2015-10,10
CVE-2015-4844,2015-06,2015-10,10
CVE-2015-4860,2015-06,2015-10,10
CVE-2015-4868,2015-06,2015-10,7.6
CVE-2015-4871,2015-06,2015-10,5.8
CVE-2015-4872,2015-06,2015-10,5
CVE-2015-4881,2015-06,2015-10,10
CVE-2015-4882,2015-06,2015-10,5
CVE-2015-4883,2015-06,2015-10,10
CVE-2015-4893,2015-06,2015-10,5
CVE-2015-4901,2015-06,2015-10,9.3
CVE-2015-4902,2015-06,2015-10,5
CVE-2015-4903,2015-06,2015-10,5
CVE-2015-4906,2015-06,2015-10,5
CVE-2015-4908,2015-06,2015-10,5
CVE-2015-4911,2015-06,2015-10,5
CVE-2015-4916,2015-06,2015-10,5
CVE-2015-5085,2015-06,2015-07,10
CVE-2015-5086,2015-06,2015-07,10
CVE-2015-5087,2015-06,2015-07,10
CVE-2015-5088,2015-06,2015-07,5
CVE-2015-5089,2015-06,2015-07,5
CVE-2015-5090,2015-06,2015-07,7.5
CVE-2015-5091,2015-06,2015-07,7.8
CVE-2015-5092,2015-06,2015-07,5
CVE-2015-5093,2015-06,2015-07,10
CVE-2015-5094,2015-06,2015-07,10
CVE-2015-5095,2015-06,2015-07,10
CVE-2015-5096,2015-06,2015-07,10
CVE-2015-5097,2015-06,2015-07,10
CVE-2015-5098,2015-06,2015-07,10
CVE-2015-5099,2015-06,2015-07,10
CVE-2015-5100,2015-06,2015-07,10
CVE-2015-5101,2015-06,2015-07,10
CVE-2015-5102,2015-06,2015-07,10
CVE-2015-5103,2015-06,2015-07,10
CVE-2015-5104,2015-06,2015-07,10
CVE-2015-5105,2015-06,2015-07,10
CVE-2015-5106,2015-06,2015-07,7.5
CVE-2015-5107,2015-06,2015-07,5
CVE-2015-5108,2015-06,2015-07,10
CVE-2015-5109,2015-06,2015-07,10
CVE-2015-5110,2015-06,2015-07,10
CVE-2015-5111,2015-06,2015-07,10
CVE-2015-5113,2015-06,2015-07,10
CVE-2015-5114,2015-06,2015-07,10
CVE-2015-5115,2015-06,2015-07,10
CVE-2015-5116,2015-06,2015-07,5
CVE-2015-5117,2015-06,2015-07,10
CVE-2015-5118,2015-06,2015-07,10
CVE-2015-5119,2015-06,2015-07,10
CVE-2015-5120,2015-06,2015-07,10
CVE-2015-5122,2015-06,2015-07,10
CVE-2015-5123,2015-06,2015-07,10
CVE-2015-5124,2015-06,2015-07,10
CVE-2015-5125,2015-06,2015-08,10
CVE-2015-5127,2015-06,2015-08,10
CVE-2015-5129,2015-06,2015-08,10
CVE-2015-5130,2015-06,2015-08,10
CVE-2015-5131,2015-06,2015-08,10
CVE-2015-5132,2015-06,2015-08,10
CVE-2015-5133,2015-06,2015-08,10
CVE-2015-5134,2015-06,2015-08,10
CVE-2015-5539,2015-07,2015-08,10
CVE-2015-5540,2015-07,2015-08,10
CVE-2015-5541,2015-07,2015-08,10
CVE-2015-5544,2015-07,2015-08,10
CVE-2015-5545,2015-07,2015-08,10
CVE-2015-5546,2015-07,2015-08,10
CVE-2015-5547,2015-07,2015-08,10
CVE-2015-5548,2015-07,2015-08,10
CVE-2015-5549,2015-07,2015-08,10
CVE-2015-5550,2015-07,2015-08,10
CVE-2015-5551,2015-07,2015-08,10
CVE-2015-5552,2015-07,2015-08,10
CVE-2015-5553,2015-07,2015-08,10
CVE-2015-5554,2015-07,2015-08,10
CVE-2015-5555,2015-07,2015-08,10
CVE-2015-5556,2015-07,2015-08,10
CVE-2015-5557,2015-07,2015-08,10
CVE-2015-5558,2015-07,2015-08,10
CVE-2015-5559,2015-07,2015-08,10
CVE-2015-5560,2015-07,2015-08,10
CVE-2015-5561,2015-07,2015-08,10
CVE-2015-5562,2015-07,2015-08,10
CVE-2015-5563,2015-07,2015-08,10
CVE-2015-5564,2015-07,2015-08,10
CVE-2015-5565,2015-07,2015-08,10
CVE-2015-5566,2015-07,2015-08,10
CVE-2015-5567,2015-07,2015-09,10
CVE-2015-5568,2015-07,2015-09,10
CVE-2015-5569,2015-07,2015-10,10
CVE-2015-5570,2015-07,2015-09,10
CVE-2015-5571,2015-07,2015-09,4.3
CVE-2015-5572,2015-07,2015-09,5
CVE-2015-5573,2015-07,2015-09,10
CVE-2015-5574,2015-07,2015-09,10
CVE-2015-5575,2015-07,2015-09,10
CVE-2015-5576,2015-07,2015-09,5
CVE-2015-5577,2015-07,2015-09,10
CVE-2015-5578,2015-07,2015-09,10
CVE-2015-5579,2015-07,2015-09,10
CVE-2015-5580,2015-07,2015-09,10
CVE-2015-5581,2015-07,2015-09,10
CVE-2015-5582,2015-07,2015-09,10
CVE-2015-5583,2015-07,2015-10,4.3
CVE-2015-5584,2015-07,2015-09,10
CVE-2015-5586,2015-07,2015-10,10
CVE-2015-5587,2015-07,2015-09,10
CVE-2015-5588,2015-07,2015-09,10
CVE-2015-6093,2015-08,2015-11,9.3
CVE-2015-6676,2015-08,2015-09,10
CVE-2015-6677,2015-08,2015-09,10
CVE-2015-6678,2015-08,2015-09,10
CVE-2015-6679,2015-08,2015-09,5
CVE-2015-6682,2015-08,2015-09,10
CVE-2015-6683,2015-08,2015-10,10
CVE-2015-6684,2015-08,2015-10,10
CVE-2015-6685,2015-08,2015-10,9.3
CVE-2015-6686,2015-08,2015-10,9.3
CVE-2015-6687,2015-08,2015-10,10
CVE-2015-6688,2015-08,2015-10,9.3
CVE-2015-6689,2015-08,2015-10,9.3
CVE-2015-6690,2015-08,2015-10,9.3
CVE-2015-6691,2015-08,2015-10,10
CVE-2015-6692,2015-08,2015-10,5
CVE-2015-6693,2015-08,2015-10,9.3
CVE-2015-6694,2015-08,2015-10,9.3
CVE-2015-6695,2015-08,2015-10,9.3
CVE-2015-6696,2015-08,2015-10,10
CVE-2015-6697,2015-08,2015-10,4.3
CVE-2015-6698,2015-08,2015-10,9.3
CVE-2015-6699,2015-08,2015-10,4.3
CVE-2015-6700,2015-08,2015-10,5
CVE-2015-6701,2015-08,2015-10,4.3
CVE-2015-6702,2015-08,2015-10,4.3
CVE-2015-6703,2015-08,2015-10,4.3
CVE-2015-6704,2015-08,2015-10,4.3
CVE-2015-6705,2015-08,2015-10,5
CVE-2015-6706,2015-08,2015-10,5
CVE-2015-6707,2015-08,2015-10,9.3
CVE-2015-6708,2015-08,2015-10,9.3
CVE-2015-6709,2015-08,2015-10,9.3
CVE-2015-6710,2015-08,2015-10,9.3
CVE-2015-6711,2015-08,2015-10,9.3
CVE-2015-6712,2015-08,2015-10,9.3
CVE-2015-6713,2015-08,2015-10,9.3
CVE-2015-6714,2015-08,2015-10,9.3
CVE-2015-6715,2015-08,2015-10,9.3
CVE-2015-6716,2015-08,2015-10,9.3
CVE-2015-6717,2015-08,2015-10,9.3
CVE-2015-6718,2015-08,2015-10,9.3
CVE-2015-6719,2015-08,2015-10,9.3
CVE-2015-6720,2015-08,2015-10,9.3
CVE-2015-6721,2015-08,2015-10,9.3
CVE-2015-6722,2015-08,2015-10,9.3
CVE-2015-6723,2015-08,2015-10,9.3
CVE-2015-6724,2015-08,2015-10,9.3
CVE-2015-6725,2015-08,2015-10,9.3
CVE-2015-7575,2015-09,2016-01,5.9
CVE-2015-7614,2015-10,2015-10,9.3
CVE-2015-7615,2015-10,2015-10,9.3
CVE-2015-7616,2015-10,2015-10,9.3
CVE-2015-7617,2015-10,2015-10,9.3
CVE-2015-7618,2015-10,2015-10,9.3
CVE-2015-7619,2015-10,2015-10,9.3
CVE-2015-7620,2015-10,2015-10,9.3
CVE-2015-7621,2015-10,2015-10,9.3
CVE-2015-7622,2015-10,2015-10,10
CVE-2015-7623,2015-10,2015-10,9.3
CVE-2015-7624,2015-10,2015-10,5
CVE-2015-7625,2015-10,2015-10,10
CVE-2015-7626,2015-10,2015-10,10
CVE-2015-7627,2015-10,2015-10,10
CVE-2015-7628,2015-10,2015-10,5
CVE-2015-7629,2015-10,2015-10,9.3
CVE-2015-7630,2015-10,2015-10,10
CVE-2015-7631,2015-10,2015-10,9.3
CVE-2015-7632,2015-10,2015-10,9.3
CVE-2015-7633,2015-10,2015-10,10
CVE-2015-7635,2015-10,2015-10,10
CVE-2015-7636,2015-10,2015-10,10
CVE-2015-7637,2015-10,2015-10,10
CVE-2015-7638,2015-10,2015-10,10
CVE-2015-7639,2015-10,2015-10,10
CVE-2015-7640,2015-10,2015-10,10
CVE-2015-7641,2015-10,2015-10,10
CVE-2015-7642,2015-10,2015-10,10
CVE-2015-7643,2015-10,2015-10,9.3
CVE-2015-7644,2015-10,2015-10,10
CVE-2015-7645,2015-10,2015-10,9.3
CVE-2015-7647,2015-10,2015-10,10
CVE-2015-7648,2015-10,2015-10,10
CVE-2015-7650,2015-10,2015-11,9.3
CVE-2015-7651,2015-10,2015-11,9.3
CVE-2015-7652,2015-10,2015-11,9.3
CVE-2015-7653,2015-10,2015-11,9.3
CVE-2015-7654,2015-10,2015-11,9.3
CVE-2015-7655,2015-10,2015-11,9.3
CVE-2015-7656,2015-10,2015-11,9.3
CVE-2015-7657,2015-10,2015-11,9.3
CVE-2015-7658,2015-10,2015-11,9.3
CVE-2015-7659,2015-10,2015-11,9.3
CVE-2015-7660,2015-10,2015-11,9.3
CVE-2015-7661,2015-10,2015-11,9.3
CVE-2015-7662,2015-10,2015-11,7.8
CVE-2015-7663,2015-10,2015-11,10
CVE-2015-8042,2015-11,2015-11,9.3
CVE-2015-8043,2015-11,2015-11,10
CVE-2015-8044,2015-11,2015-11,10
CVE-2015-8045,2015-11,2015-12,10
CVE-2015-8046,2015-11,2015-11,10
CVE-2015-8047,2015-11,2015-12,10
CVE-2015-8048,2015-11,2015-12,10
CVE-2015-8049,2015-11,2015-12,9.3
CVE-2015-8050,2015-11,2015-12,9.3
CVE-2015-8055,2015-11,2015-12,10
CVE-2015-8056,2015-11,2015-12,10
CVE-2015-8057,2015-11,2015-12,10
CVE-2015-8058,2015-11,2015-12,9.3
CVE-2015-8059,2015-11,2015-12,10
CVE-2015-8060,2015-11,2015-12,10
CVE-2015-8061,2015-11,2015-12,10
CVE-2015-8062,2015-11,2015-12,10
CVE-2015-8063,2015-11,2015-12,10
CVE-2015-8064,2015-11,2015-12,10
CVE-2015-8065,2015-11,2015-12,10
CVE-2015-8066,2015-11,2015-12,10
CVE-2015-8067,2015-11,2015-12,10
CVE-2015-8068,2015-11,2015-12,10
CVE-2015-8069,2015-11,2015-12,10
CVE-2015-8070,2015-11,2015-12,10
CVE-2015-8071,2015-11,2015-12,10
CVE-2015-8126,2015-11,2015-11,7.5
CVE-2015-8401,2015-12,2015-12,10
